verbo;tipo;processo_formativo_process;processo_formativo_schema;processo_formativo_pattern;processo_formativo_pattern_semispec;processo_formativo_vsupp;cluster;sinonimia;x;y
dare in premio;analitico;;;VPrepN;V in N;dare;unknown;no_sinonimi;0.20597206;7.525441
dare un premio;analitico;;;VDetN;V det_indef N;dare;unknown;ha_sinonimi;0.2578302;7.619749
avere presente;analitico;;;VN;VN;avere;unknown;no_sinonimi;3.1223116;10.142286
fare presente;analitico;;;VN;VN;fare;unknown;no_sinonimi;3.6838186;10.131495
fare una presenza;analitico;;;VDetN;V det_indef N;fare;unknown;no_sinonimi;1.4074789;10.464293
essere presidente;analitico;;;VN;VN;essere;unknown;no_sinonimi;2.2463121;12.188796
fare il presidente;analitico;;;VDetN;V det_def N;fare;unknown;no_sinonimi;2.1232433;12.208456
essere sotto pressione;analitico;;;VPrepN;V sotto N;essere;unknown;no_sinonimi;3.0235128;7.5769515
mettere in pressione;analitico;;;VPrepN;V in N;mettere;unknown;no_sinonimi;1.6929709;9.178279
mettere pressione;analitico;;;VN;VN;mettere;unknown;no_sinonimi;1.5795438;9.692284
mettere sotto pressione;analitico;;;VPrepN;V sotto N;mettere;unknown;no_sinonimi;2.9571266;7.6266565
andare in prestito;analitico;;;VPrepN;V in N;andare;unknown;no_sinonimi;0.15281555;7.2865977
avere in prestito;analitico;;;VPrepN;V in N;avere;unknown;no_sinonimi;0.12258631;7.2809067
dare in prestito;analitico;;;VPrepN;V in N;dare;unknown;no_sinonimi;0.14057705;7.269789
essere in prestito;analitico;;;VPrepN;V in N;essere;unknown;no_sinonimi;0.14505702;7.2485905
fare un prestito;analitico;;;VDetN;V det_indef N;fare;unknown;no_sinonimi;0.11809448;7.2508492
mandare in prestito;analitico;;;VPrepN;V in N;mandare;unknown;no_sinonimi;0.13795647;7.2739086
prendere a prestito;analitico;;;VPrepN;V a N;prendere;unknown;no_sinonimi;0.14952046;7.2093678
prendere in prestito;analitico;;;VPrepN;V in N;prendere;unknown;no_sinonimi;0.1410878;7.249553
essere prete;analitico;;;VN;VN;essere;unknown;no_sinonimi;1.1168147;12.770617
fare il prete;analitico;;;VDetN;V det_def N;fare;unknown;no_sinonimi;1.2427585;12.420021
fare il prezzo;analitico;;;VDetN;V det_def N;fare;unknown;no_sinonimi;1.6149678;12.060468
mettere un prezzo;analitico;;;VDetN;V det_indef N;mettere;unknown;ha_sinonimi;2.1111884;8.834892
andare in prigione;analitico;;;VPrepN;V in N;andare;unknown;no_sinonimi;2.9950855;6.457473
essere in prigione;analitico;;;VPrepN;V in N;essere;unknown;no_sinonimi;2.9785218;6.4862833
mandare in prigione;analitico;;;VPrepN;V in N;mandare;unknown;ha_sinonimi;2.9922547;6.4742713
mettere in prigione;analitico;;;VPrepN;V in N;mettere;unknown;ha_sinonimi;2.9715123;6.4949512
essere prigioniero;analitico;;;VN;VN;essere;unknown;no_sinonimi;3.0892148;6.3131557
fare prigioniero;analitico;;;VN;VN;fare;unknown;no_sinonimi;3.0900679;6.3527865
prendere prigioniero;analitico;;;VN;-;prendere;unknown;no_sinonimi;3.157383;6.2730894
fare il principe;analitico;;;VDetN;V det_def N;fare;unknown;no_sinonimi;1.2174708;12.422789
andare a processo;analitico;;;VPrepN;V a N;andare;unknown;no_sinonimi;2.7152555;7.192017
essere sotto processo;analitico;;;VPrepN;V sotto N;essere;unknown;no_sinonimi;2.9029045;7.306429
fare il processo;analitico;;;VDetN;V det_def N;fare;unknown;ha_sinonimi;2.6463823;7.2636013
fare un processo;analitico;;;VDetN;V det_indef N;fare;unknown;no_sinonimi;2.6798055;7.2366815
mettere sotto processo;analitico;;;VPrepN;V sotto N;mettere;unknown;ha_sinonimi;2.9170632;7.3173637
andare in produzione;analitico;;;VPrepN;V in N;andare;unknown;no_sinonimi;1.3853973;7.764302
fare una produzione;analitico;;;VDetN;V det_indef N;fare;unknown;no_sinonimi;1.4500403;8.097052
mettere in produzione;analitico;;;VPrepN;V in N;mettere;unknown;no_sinonimi;1.4109032;7.883653
fare una professione;analitico;;;VDetN;V det_indef N;fare;unknown;no_sinonimi;1.3158627;10.79405
fare il professore;analitico;;;VDetN;V det_def N;fare;unknown;no_sinonimi;1.4622315;12.431596
avere il profumo;analitico;;;VDetN;V det_def N;avere;unknown;ha_sinonimi;1.5912507;11.297537
avere in progetto;analitico;;;VPrepN;V in N;avere;unknown;ha_sinonimi;1.6302706;7.728931
essere in progetto;analitico;;;VPrepN;V in N;essere;unknown;no_sinonimi;1.6347083;7.7418976
fare il progetto;analitico;;;VDetN;V det_def N;fare;unknown;ha_sinonimi;2.0350177;7.666626
avere in programma;analitico;;;VPrepN;V in N;avere;unknown;ha_sinonimi;1.6680827;7.6881614
essere in programma;analitico;;;VPrepN;V in N;essere;unknown;no_sinonimi;1.6543207;7.631631
fare il programma;analitico;;;VDetN;V det_def N;fare;unknown;ha_sinonimi;2.0791204;7.607249
mettere in programma;analitico;;;VPrepN;V in N;mettere;unknown;no_sinonimi;1.6574608;7.687176
avere il proposito;analitico;;;VDetN;V det_def N;avere;unknown;no_sinonimi;1.9129788;10.769037
fare una proposta;analitico;;;VDetN;V det_indef N;fare;unknown;no_sinonimi;1.1331285;10.702809
andare in prova;analitico;;;VPrepN;V in N;andare;unknown;no_sinonimi;1.4915816;7.612495
avere in prova;analitico;;;VPrepN;V in N;avere;unknown;no_sinonimi;1.5362347;7.596794
dare prova;analitico;;;VN;VN;dare;unknown;no_sinonimi;2.3021684;9.356259
mettere a prova;analitico;;;VPrepN;V a N;mettere;unknown;no_sinonimi;2.1871834;9.461402
mettere in prova;analitico;;;VPrepN;V in N;mettere;unknown;no_sinonimi;1.521942;7.6767545
prendere in prova;analitico;;;VPrepN;V in N;prendere;unknown;no_sinonimi;1.5633297;7.6257615
avere in pugno;analitico;;;VPrepN;V in N;avere;unknown;no_sinonimi;0.41085598;9.915072
fare a pugno;analitico;;;VPrepN;V a N;fare;unknown;no_sinonimi;0.3055777;10.024074
prendere a pugno;analitico;;;VPrepN;V a N;prendere;unknown;no_sinonimi;0.40173233;9.9636135
prendere in pugno;analitico;;;VPrepN;V in N;prendere;unknown;no_sinonimi;0.46603072;9.895035
fare il punto;analitico;;;VDetN;V det_def N;fare;unknown;no_sinonimi;2.1928282;10.466317
fare punto;analitico;;;VN;VN;fare;unknown;no_sinonimi;2.077372;10.661878
mettere a punto;analitico;;;VPrepN;V a N;mettere;unknown;no_sinonimi;1.9722927;9.14518
essere in questione;analitico;;;VPrepN;V in N;essere;unknown;no_sinonimi;3.037405;9.847844
mettere in questione;analitico;;;VPrepN;V in N;mettere;unknown;ha_sinonimi;3.1662583;9.9902
prendere in questione;analitico;;;VPrepN;V in N;prendere;unknown;no_sinonimi;3.1165419;9.979181
andare in radio;analitico;;;VPrepN;V in N;andare;unknown;no_sinonimi;0.9110822;8.441566
avere ragione;analitico;;;VN;VN;avere;unknown;no_sinonimi;2.3009694;9.970594
dare ragione;analitico;;;VN;VN;dare;unknown;no_sinonimi;2.3344753;9.983565
avere un rapporto;analitico;;;VDetN;V det_indef N;avere;unknown;no_sinonimi;1.60669;10.167997
mettere in rapporto;analitico;;;VPrepN;V in N;mettere;unknown;no_sinonimi;2.3546994;9.532285
essere rappresentante;analitico;;;VN;VN;essere;unknown;no_sinonimi;2.405705;12.044923
fare il rappresentante;analitico;;;VDetN;V det_def N;fare;unknown;no_sinonimi;2.18957;12.110072
essere re;analitico;;;VN;VN;essere;unknown;no_sinonimi;0.3265861;13.408439
fare il re;analitico;;;VDetN;V det_def N;fare;unknown;no_sinonimi;1.0883131;12.358695
avere in regalo;analitico;;;VPrepN;V in N;avere;unknown;no_sinonimi;0.8420384;8.727408
dare in regalo;analitico;;;VPrepN;V in N;dare;unknown;no_sinonimi;0.8665326;8.611423
essere regina;analitico;;;VN;VN;essere;unknown;no_sinonimi;0.23090433;13.467353
dare una regola;analitico;;;VDetN;V det_def N;dare;unknown;ha_sinonimi;1.8308938;10.640903
mettere in regola;analitico;;;VPrepN;V in N;mettere;unknown;ha_sinonimi;1.0757208;8.721656
essere in relazione;analitico;;;VPrepN;V in N;essere;unknown;no_sinonimi;2.6108005;9.5987
fare una relazione;analitico;;;VDetN;V det_def N;fare;unknown;ha_sinonimi;2.4778702;10.324405
mettere in relazione;analitico;;;VPrepN;V in N;mettere;unknown;ha_sinonimi;2.7307143;9.681257
fare resistenza;analitico;;;VN;VN;fare;unknown;no_sinonimi;0.9816837;10.195114
essere responsabile;analitico;;;VN;VN;essere;unknown;no_sinonimi;3.0228434;9.375529
essere in ricerca;analitico;;;VPrepN;V in N;essere;unknown;no_sinonimi;1.1637505;8.572797
fare ricerca;analitico;;;VN;VN;fare;unknown;no_sinonimi;2.165462;10.323359
fare una ricerca;analitico;;;VDetN;V det_indef N;fare;unknown;no_sinonimi;2.1423664;10.419015
avere riguardo;analitico;;;VN;VN;avere;unknown;no_sinonimi;3.124812;9.962908
fare riguardo;analitico;;;VN;VN;fare;unknown;no_sinonimi;3.0541437;10.006019
andare a riposo;analitico;;;VPrepN;V a N;andare;unknown;no_sinonimi;0.80933666;8.75269
dare riposo;analitico;;;VN;VN;dare;unknown;no_sinonimi;0.92501473;8.796205
essere a riposo;analitico;;;VPrepN;V a N;essere;unknown;no_sinonimi;0.90572995;8.697208
mettere a riposo;analitico;;;VPrepN;V a N;mettere;unknown;no_sinonimi;0.90939647;8.744213
avere il rischio;analitico;;;VDetN;V det_def N;avere;unknown;ha_sinonimi;2.5020149;8.733952
essere a rischio;analitico;;;VPrepN;V a N;essere;unknown;no_sinonimi;2.065426;8.712706
mettere a rischio;analitico;;;VPrepN;V a N;mettere;unknown;ha_sinonimi;1.9123553;8.721187
andare in riserva;analitico;;;VPrepN;V in N;andare;unknown;no_sinonimi;1.039945;8.056344
fare da riserva;analitico;;;VPrepN;V da N;fare;unknown;no_sinonimi;0.9866205;7.998755
mettere in riserva;analitico;;;VPrepN;V in N;mettere;unknown;no_sinonimi;1.2222149;8.003319
fare rispetto;analitico;;;VN;VN;fare;unknown;no_sinonimi;2.770547;10.172836
avere risposta;analitico;;;VN;VN;avere;unknown;no_sinonimi;2.713397;10.057663
avere il risultato;analitico;;;VDetN;V det_def N;avere;unknown;no_sinonimi;2.6420982;8.661375
dare il risultato;analitico;;;VDetN;V det_def N;dare;unknown;no_sinonimi;2.6627538;8.67056
dare un risultato;analitico;;;VDetN;V det_indef N;dare;unknown;no_sinonimi;2.6487195;8.6452
essere risultato;analitico;;;VN;VN;essere;unknown;no_sinonimi;2.681922;8.618639
fare risultato;analitico;;;VN;VN;fare;unknown;no_sinonimi;2.7300284;8.659458
avere un ritardo;analitico;;;VDetN;V det_indef N;avere;unknown;no_sinonimi;1.4019471;8.836096
essere in ritardo;analitico;;;VPrepN;V in N;essere;unknown;no_sinonimi;1.1197652;8.545967
essere di ritorno;analitico;;;VPrepN;V di N;essere;unknown;no_sinonimi;-0.78540933;10.3603115
fare ritorno;analitico;;;VN;VN;fare;unknown;no_sinonimi;-0.86705554;10.3854475
fare una riunione;analitico;;;VDetN;V det_indef N;fare;unknown;no_sinonimi;2.0193532;10.609294
fare una rivoluzione;analitico;;;VDetN;V det_indef N;fare;unknown;ha_sinonimi;2.310844;10.713529
andare in rosso;analitico;;;VPrepN;V in N;andare;unknown;no_sinonimi;0.9301773;8.413193
essere in rosso;analitico;;;VPrepN;V in N;essere;unknown;no_sinonimi;1.0851004;8.510202
fare il rumore;analitico;;;VDetN;V det_def N;fare;unknown;ha_sinonimi;0.69967884;11.97157
essere in salute;analitico;;;VPrepN;V in N;essere;unknown;no_sinonimi;0.686108;8.300851
fare il santo;analitico;;;VDetN;V det_def N;fare;unknown;no_sinonimi;0.7119647;12.105595
fare il scemo;analitico;;;VDetN;V det_def N;fare;unknown;no_sinonimi;0.5403684;11.941846
andare di scena;analitico;;;VPrepN;V di N;andare;unknown;no_sinonimi;-0.44895595;11.6188135
andare in scena;analitico;;;VPrepN;V in N;andare;unknown;no_sinonimi;-0.49156365;11.779335
essere in scena;analitico;;;VPrepN;V in N;essere;unknown;no_sinonimi;-0.46425992;11.790886
fare scena;analitico;;;VN;VN;fare;unknown;no_sinonimi;0.13435097;11.793556
fare una scena;analitico;;;VDetN;V det_indef N;fare;unknown;no_sinonimi;0.259337;11.358306
mandare in scena;analitico;;;VPrepN;V in N;mandare;unknown;ha_sinonimi;-0.44451177;11.798186
mettere in scena;analitico;;;VPrepN;V in N;mettere;unknown;ha_sinonimi;-0.43622234;11.78729
fare schifo;analitico;;;VN;VN;fare;unknown;no_sinonimi;0.5163596;11.960999
fare scienza;analitico;;;VN;VN;fare;unknown;no_sinonimi;2.8801188;10.278581
andare a scuola;analitico;;;VPrepN;V a N;andare;unknown;no_sinonimi;-0.20354857;11.007681
