group;nome;noun.artifact;noun.cognition;noun.act;noun.state;noun.communication;noun.relation;noun.attribute;noun.substance;noun.food;noun.object;noun.phenomenon;noun.possession;noun.group;noun.feeling;noun.person;noun.time;noun.animal;noun.event;noun.plant;noun.location;noun.shape;noun.body;noun.process;noun.quantity;noun.motive;distance_to_cluster;ID;Dim 1;Dim 2;Dim 3;Dim 4;Dim 5;cluster;Dim 1_centro;Dim 2_centro;Dim 3_centro;Dim 4_centro;Dim 5_centro
Analitico;amicizia;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.250441176138946;15;0.0164463874799349;-0.317221847826449;0.0410432202364885;0.131313267220037;-0.28414115458642;2;0.212096760508186;-0.323002070097114;-0.085150037927765;0.0766500936705198;-0.210009499258541
Analitico;amico;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.045308052533135;16;0.194913878533242;-0.354911562824534;-0.0911634185861732;0.062159965792761;-0.23221823430587;2;0.212096760508186;-0.323002070097114;-0.085150037927765;0.0766500936705198;-0.210009499258541
Analitico;amministrazione;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.357921340668976;17;-0.0819206397876424;-0.0171322393008428;-0.221583099454785;-0.276319837723774;0.11518468186133;1;-0.196852617172649;-0.000929919372101417;-0.021608469145203;-0.015341527925229;0.0343374150131737
Analitico&Sintetico;amore;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0.576831194914599;18;-0.0623522032848265;-0.42004635304642;0.0712134303486027;0.506688828107602;-0.0135112714834834;2;0.212096760508186;-0.323002070097114;-0.085150037927765;0.0766500936705198;-0.210009499258541
Analitico&Sintetico;anello;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0.53276936467932;19;0.286834542678505;0.175173792416341;0.508180013729946;-0.258972463589783;0.287482878199486;3;0.270981596186198;0.196711085241195;0.095148931250677;-0.0151444734554311;0.0570891691292495
Analitico;angelo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0.344361281932286;20;0.520269344305754;-0.406603373085897;-0.0549236026436694;0.0976057512007839;-0.333591036130546;2;0.212096760508186;-0.323002070097114;-0.085150037927765;0.0766500936705198;-0.210009499258541
Sintetico;angolo;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;108.076.280.460.381;21;0.473692794714937;0.983711510124002;0.0569153957713454;0.156743547447558;-0.633258168140345;3;0.270981596186198;0.196711085241195;0.095148931250677;-0.0151444734554311;0.0570891691292495
Analitico&Sintetico;anima;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0.397807515976535;22;0.0528768845666896;-0.471157329306227;0.0912301496917673;0.339844549589576;-0.107205910653634;2;0.212096760508186;-0.323002070097114;-0.085150037927765;0.0766500936705198;-0.210009499258541
Analitico;animo;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.351972774201857;23;-0.186240377562125;-0.0453374550119845;0.0406425776124823;0.319311456626546;0.111359308240714;1;-0.196852617172649;-0.000929919372101417;-0.021608469145203;-0.015341527925229;0.0343374150131737
Analitico;ansia;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.537355256276489;24;-0.254871496745968;-0.256141479495007;0.2920484737162;0.333342448202553;0.0513770050088055;1;-0.196852617172649;-0.000929919372101417;-0.021608469145203;-0.015341527925229;0.0343374150131737
Analitico;appuntamento;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.357921340668979;25;-0.0819206397876415;-0.017132239300841;-0.221583099454785;-0.276319837723776;0.115184681861335;1;-0.196852617172649;-0.000929919372101417;-0.021608469145203;-0.015341527925229;0.0343374150131737
Sintetico;architetto;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.0453080525331356;26;0.194913878533241;-0.354911562824534;-0.0911634185861733;0.06215996579276;-0.232218234305869;2;0.212096760508186;-0.323002070097114;-0.085150037927765;0.0766500936705198;-0.210009499258541
Sintetico;arco;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0.735724260931155;27;0.323431515263196;0.780855787483004;-0.107518645217969;0.22525675948813;-0.2566738968965;3;0.270981596186198;0.196711085241195;0.095148931250677;-0.0151444734554311;0.0570891691292495
Analitico&Sintetico;argomento;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.27749387772283;28;-0.117247377629344;-0.035550759512699;-0.229172930078795;0.125482154352883;0.115287649761725;1;-0.196852617172649;-0.000929919372101417;-0.021608469145203;-0.015341527925229;0.0343374150131737
Analitico&Sintetico;aria;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0.642941020133157;29;0.00505156176727413;0.457296902862836;0.537228689596265;-0.153387304683437;-0.188275479289074;3;0.270981596186198;0.196711085241195;0.095148931250677;-0.0151444734554311;0.0570891691292495
Analitico&Sintetico;arma;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.573704036307592;30;0.0943217022561987;0.188470624056796;-0.408432272989739;-0.206222572809158;0.184047276454805;1;-0.196852617172649;-0.000929919372101417;-0.021608469145203;-0.015341527925229;0.0343374150131737
Analitico;arte;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.458966761470925;31;-0.0993577907227752;0.19071936537715;-0.29828284165503;-0.187553732033282;0.275604998741817;1;-0.196852617172649;-0.000929919372101417;-0.021608469145203;-0.015341527925229;0.0343374150131737
Sintetico;articolo;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.460639381021424;32;-0.0503280360406287;0.112140349945122;-0.322277560266071;-0.295482421878426;0.129487180373222;1;-0.196852617172649;-0.000929919372101417;-0.021608469145203;-0.015341527925229;0.0343374150131737
Analitico;artista;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.0453080525331341;33;0.194913878533241;-0.354911562824534;-0.0911634185861728;0.0621599657927607;-0.232218234305868;2;0.212096760508186;-0.323002070097114;-0.085150037927765;0.0766500936705198;-0.210009499258541
Analitico;aspetto;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.668458540469007;34;-0.263207010988628;0.238437039257309;-0.224753209631256;0.370046568731664;0.476316603699481;1;-0.196852617172649;-0.000929919372101417;-0.021608469145203;-0.015341527925229;0.0343374150131737
Sintetico;assassino;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.0453080525331337;35;0.194913878533242;-0.354911562824533;-0.0911634185861735;0.0621599657927612;-0.232218234305868;2;0.212096760508186;-0.323002070097114;-0.085150037927765;0.0766500936705198;-0.210009499258541
Analitico;atteggiamento;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.35197277420186;36;-0.186240377562125;-0.0453374550119844;0.0406425776124822;0.319311456626549;0.111359308240714;1;-0.196852617172649;-0.000929919372101417;-0.021608469145203;-0.015341527925229;0.0343374150131737
Analitico&Sintetico;attenzione;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.138660893113912;37;-0.195697782756801;-0.0844129944521526;-0.0990067794009196;-0.0226932833892658;0.11315073287859;1;-0.196852617172649;-0.000929919372101417;-0.021608469145203;-0.015341527925229;0.0343374150131737
Analitico;attesa;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0.38520053859342;38;-0.509992297585315;0.133314088238818;0.0464648278637562;0.108754102338562;-0.0764228788110857;1;-0.196852617172649;-0.000929919372101417;-0.021608469145203;-0.015341527925229;0.0343374150131737
Analitico;attività ;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0.846735158178429;39;-0.613051304394664;0.074870952276991;0.320952499111761;-0.654652639612242;0.14354636248419;1;-0.196852617172649;-0.000929919372101417;-0.021608469145203;-0.015341527925229;0.0343374150131737
